	log_likelihood
1779	254.97102
1780	296.12793
1781	225.26407
1782	284.03497
1783	307.02286
1784	304.86014
1785	297.63345
1786	323.51718
1787	256.0801
1788	266.89886
1789	311.0196
1790	301.65833
1791	268.35504
1792	304.92303
1793	304.20242
1794	276.10495
1795	306.0707
1796	303.79645
1797	304.3773
1798	283.25183
1799	307.03113
1800	328.77362
1801	310.5327
1802	315.32593
1803	274.06253
1804	288.78186
1805	294.39246
1806	307.3601
1807	279.94528
1808	207.20615
1809	227.46762
1810	215.86026
1811	304.6054
1812	307.01184
1813	311.25793
1814	282.16754
1815	315.83817
1816	278.32623
1817	232.22665
1818	284.32507
1819	309.23114
1820	284.09686
1821	254.71402
1822	323.72095
1823	314.4726
1824	303.4287
1825	316.04495
1826	291.44116
1827	306.95483
1828	271.64426
1829	321.75253
1830	284.0645
1831	278.8486
1832	299.0386
1833	286.81104
1834	288.2202
1835	239.01657
1836	291.0302
1837	311.56967
1838	308.9356
1839	290.85352
1840	262.52228
1841	313.44427
1842	318.2014
1843	313.20605
1844	287.94067
1845	268.60052
1846	276.6446
1847	223.2918
1848	310.11584
1849	293.647
1850	284.2898
1851	299.60553
1852	309.28348
1853	279.50598
1854	288.6693
1855	302.01157
1856	307.17902
1857	193.83719
1858	264.53763
1859	302.52554
1860	311.29095
1861	300.23056
1862	323.98492
1863	325.768
1864	283.75784
1865	325.53592
1866	314.7433
1867	286.39297
1868	295.2635
1869	284.88718
1870	224.63693
1871	291.18716
1872	288.47858
1873	335.06207
1874	229.24039
